cat,X,Y,elevation
563,493294.7452,5180655.004,785
564,493310.6202,5180674.848,785
565,493324.114,5180693.104,785
566,493336.814,5180708.186,785
567,493354.2766,5180731.998,785
568,493368.5641,5180749.461,785
569,493384.4391,5180766.923,785
570,493398.7267,5180782.004,785
571,493416.9829,5180795.498,785
572,493436.033,5180803.436,785
573,493459.8455,5180803.436,785
574,493481.2768,5180799.467,785
575,493500.3269,5180795.498,785
576,493520.1707,5180784.386,785
577,493537.6332,5180783.592,785
578,493552.7145,5180774.861,785
579,493568.5895,5180766.923,785
580,493586.052,5180765.336,785
581,493594.7833,5180781.211,785
582,493576.527,5180797.879,785
583,493563.827,5180811.373,785
584,493552.7145,5180824.073,785
585,493536.8394,5180838.361,785
586,493512.2331,5180840.742,785
587,493487.6268,5180838.361,785
588,493465.4018,5180841.536,785
589,493449.5268,5180855.823,785
590,493451.1143,5180874.873,785
591,493462.2268,5180893.923,785
592,493476.5143,5180912.973,785
593,493484.4518,5180931.23,785
594,493490.8018,5180955.042,785
595,493506.6769,5180970.124,785
596,493524.1394,5180982.824,785
597,493544.777,5181000.286,785
598,493567.002,5181016.161,785
599,493578.1145,5181039.18,785
600,493596.3708,5181061.405,785
601,493609.0708,5181072.518,785
602,493624.9459,5181084.424,785
603,493638.4396,5181095.536,785
604,493654.3147,5181103.474,785
605,493485.2456,5180999.492,782.5
606,493475.7206,5180984.411,782.5
607,493466.1955,5180972.505,782.5
608,493457.4643,5180957.424,782.5
609,493455.8768,5180943.136,782.5
610,493455.8768,5180925.673,782.5
611,493451.1143,5180907.417,782.5
612,493441.5892,5180887.573,782.5
613,493432.0642,5180872.492,782.5
614,493427.3017,5180852.648,782.5
615,493428.8892,5180835.98,782.5
616,493433.6517,5180822.486,782.5
617,493411.4267,5180812.961,782.5
618,493393.1704,5180801.848,782.5
619,493373.3266,5180781.211,782.5
620,493358.2453,5180762.161,782.5
621,493343.9578,5180745.492,782.5
622,493336.0203,5180728.823,782.5
623,493317.764,5180711.361,782.5
624,493306.6515,5180694.692,782.5
625,493292.3639,5180673.26,782.5
626,493282.8389,5180658.179,782.5
627,493264.5826,5180637.542,782.5
628,493254.2639,5180619.285,782.5
629,493251.8826,5180597.854,782.5
630,493263.7889,5180581.185,782.5
631,493286.0139,5180570.073,782.5
632,493243.1513,5180574.042,780
633,493236.8013,5180587.535,780
634,493235.2138,5180608.173,780
635,493244.7389,5180627.223,780
636,493255.0576,5180646.273,780
637,493266.9639,5180663.735,780
638,493278.0764,5180682.785,780
639,493290.7764,5180704.217,780
640,493302.6827,5180722.473,780
641,493314.589,5180742.317,780
642,493324.9078,5180762.161,780
643,493333.639,5180778.036,780
644,493344.7516,5180793.911,780
645,493352.6891,5180809.786,780
646,493345.5453,5180819.311,780
647,493232.0388,5180663.735,777.5
648,493231.2451,5180649.448,777.5
649,493224.1013,5180634.367,777.5
650,493216.1638,5180617.698,777.5
651,493211.4013,5180602.617,777.5
652,493212.9888,5180582.773,777.5
